8.2150078517587814e-03	3.5156212045056208e-03
1.6430015703517563e-02	3.5156248391706346e-03
2.4645023555276344e-02	3.5156249402113482e-03
3.2860031407035126e-02	3.5156249973796183e-03
4.9290047110552689e-02	3.5156250084793991e-03
6.5720062814070251e-02	3.5156250021373360e-03
9.8580094221105377e-02	3.5156250015558476e-03
1.3144012562814050e-01	3.5156250048919485e-03
1.9716018844221075e-01	3.5156250248992928e-03
2.6288025125628101e-01	3.5156250786860638e-03
3.7724560175879351e-01	3.5156253336888232e-03
4.9161095226130602e-01	3.5156259623388996e-03
7.4884254773869297e-01	3.5156301808724820e-03
1.0077792412060300e+00	3.5156419941640283e-03
1.2654852537688399e+00	3.5156672533167917e-03
1.5044117160804000e+00	3.5157093897576538e-03
1.7518062286432099e+00	3.5157801497858816e-03
2.0076619874371802e+00	3.5158926356297919e-03
2.2626972135678400e+00	3.5160567679665953e-03
2.5250322914572800e+00	3.5162945133138208e-03
2.7560971708542699e+00	3.5165751828602184e-03
3.0162214974874400e+00	3.5169876713169530e-03
3.2774139195979899e+00	3.5175240942842542e-03
3.5291212160804002e+00	3.5181773923086100e-03
3.7576955552763800e+00	3.5189045484120699e-03
4.0294925527638199e+00	3.5199592244780243e-03
4.2597402613065301e+00	3.5210353591013238e-03
4.5275730829145697e+00	3.5225252582525195e-03
4.7646505125628096e+00	3.5240823778857669e-03
5.0247620276381904e+00	3.5260773938386300e-03
5.2724497010050202e+00	3.5282848372087490e-03
5.5308858040200999e+00	3.5309405465125052e-03
5.7682108216080401e+00	3.5337260158072462e-03
6.0241979145728601e+00	3.5371362836316418e-03
6.2900965603015004e+00	3.5411635806468626e-03
6.5215621130653201e+00	3.5451053941957917e-03
6.7715512512562803e+00	3.5498551855315174e-03
7.0298144924623100e+00	3.5553409137026484e-03
7.2824746884422096e+00	3.5613210462090944e-03
7.5269364195979804e+00	3.5677282734808157e-03
7.7983694924623101e+00	3.5756123231432536e-03
8.0422641809045192e+00	3.5834385264075638e-03
8.3026738190954692e+00	3.5926278149634016e-03
8.5386436557788894e+00	3.6017501299069597e-03
8.7966210150753703e+00	3.6126504345618897e-03
9.0393576055276306e+00	3.6238525707491167e-03
9.2930872839195899e+00	3.6366118786550490e-03
9.5411544221105498e+00	3.6501965036311156e-03
9.8008577261306495e+00	3.6656786712480306e-03
