VARIABLES = "Re", "St", "Wo", "Sigma", "H", "Sigma*H", "G", "t_0/t_nu"
ZONE T="sigma0=1e3, sigma0*H=1e10", I=10, J=1
100.000000 3.300000 18.165902 1000.000000 10000000.000000 10000000000.000000 0.004300 0.167615
100.000000 3.800000 19.493589 1000.000000 10000000.000000 10000000000.000000 0.006032 0.180797
100.000000 4.300000 20.736441 1000.000000 10000000.000000 10000000000.000000 0.010945 0.157953
100.000000 4.840000 22.000000 1000.000000 10000000.000000 10000000000.000000 0.035323 0.220926
100.000000 4.800000 21.908902 1000.000000 10000000.000000 10000000000.000000 0.035963 0.233707
100.000000 5.300000 23.021729 1000.000000 10000000.000000 10000000000.000000 0.010307 0.128721
100.000000 5.760000 24.000000 1000.000000 10000000.000000 10000000000.000000 0.005259 0.188638
100.000000 6.300000 25.099801 1000.000000 10000000.000000 10000000000.000000 0.003235 0.168952
100.000000 6.800000 26.076810 1000.000000 10000000.000000 10000000000.000000 0.002306 0.185884
100.000000 7.300000 27.018512 1000.000000 10000000.000000 10000000000.000000 0.001783 0.191497
ZONE T="sigma0=1e4, sigma0*H=1e10", I=10, J=1
100.000000 3.300000 18.165902 10000.000000 1000000.000000 10000000000.000000 0.004239 0.192775
100.000000 3.800000 19.493589 10000.000000 1000000.000000 10000000000.000000 0.005874 0.199809
100.000000 4.300000 20.736441 10000.000000 1000000.000000 10000000000.000000 0.010326 0.247235
100.000000 4.840000 22.000000 10000.000000 1000000.000000 10000000000.000000 0.038011 0.216249
100.000000 4.800000 21.908902 10000.000000 1000000.000000 10000000000.000000 0.036002 0.183927
100.000000 5.300000 23.021729 10000.000000 1000000.000000 10000000000.000000 0.011422 0.242183
100.000000 5.760000 24.000000 10000.000000 1000000.000000 10000000000.000000 0.005607 0.190829
100.000000 6.300000 25.099801 10000.000000 1000000.000000 10000000000.000000 0.003381 0.225922
100.000000 6.800000 26.076810 10000.000000 1000000.000000 10000000000.000000 0.002417 0.203589
100.000000 7.300000 27.018512 10000.000000 1000000.000000 10000000000.000000 0.001851 0.199054
ZONE T="sigma0=1e4, sigma0*H=1e11", I=10, J=1
100.000000 10.500000 32.403703 10000.000000 10000000.000000 100000000000.000000 0.000416 0.099282
100.000000 12.000000 34.641016 10000.000000 10000000.000000 100000000000.000000 0.000560 0.104534
100.000000 13.500000 36.742346 10000.000000 10000000.000000 100000000000.000000 0.000916 0.101229
100.000000 15.840000 39.799497 10000.000000 10000000.000000 100000000000.000000 0.004412 0.135291
100.000000 15.000000 38.729833 10000.000000 10000000.000000 100000000000.000000 0.002948 0.097428
100.000000 16.500000 40.620192 10000.000000 10000000.000000 100000000000.000000 0.001738 0.115266
100.000000 18.200000 42.661458 10000.000000 10000000.000000 100000000000.000000 0.000614 0.112557
100.000000 19.500000 44.158804 10000.000000 10000000.000000 100000000000.000000 0.000398 0.108679
100.000000 21.000000 45.825757 10000.000000 10000000.000000 100000000000.000000 0.000277 0.111929
100.000000 22.500000 47.434165 10000.000000 10000000.000000 100000000000.000000 0.000209 0.106741
ZONE T="sigma0=1e5, sigma0*H=1e11", I=10, J=1
100.000000 10.500000 32.403703 100000.000000 1000000.000000 100000000000.000000 0.000416 0.107153
100.000000 12.000000 34.641016 100000.000000 1000000.000000 100000000000.000000 0.000559 0.117950
100.000000 13.500000 36.742346 100000.000000 1000000.000000 100000000000.000000 0.000913 0.127395
100.000000 15.840000 39.799497 100000.000000 1000000.000000 100000000000.000000 0.004513 0.119213
100.000000 15.000000 38.729833 100000.000000 1000000.000000 100000000000.000000 0.002911 0.116628
100.000000 16.500000 40.620192 100000.000000 1000000.000000 100000000000.000000 0.001756 0.112810
100.000000 18.200000 42.661458 100000.000000 1000000.000000 100000000000.000000 0.000617 0.123253
100.000000 19.500000 44.158804 100000.000000 1000000.000000 100000000000.000000 0.000400 0.115139
100.000000 21.000000 45.825757 100000.000000 1000000.000000 100000000000.000000 0.000278 0.107480
100.000000 22.500000 47.434165 100000.000000 1000000.000000 100000000000.000000 0.000210 0.115496
